1360		5948		8029		16447		3515		1053		14491		9761		18719		12854		1077		12677		7473		4262		11095		8844		10084		7875		17241		7320		19143		4888		4524		1947		4652		11260		3503		17882		14692		10223		19745		5245		12037		2387		11602		15862		18125		15653		17938		2635		960		12375		4555		5730		1198		3691		12074		19336		12112		2062		3319		10877		18416		9646		7207		11616		13608		19737		15143		9747		12387		788		10105		5258		17408		6517		3451		1718		14358		1118		12738		8072		1457		18551		6726		12580		2297		18662		14135		5220		1267		13773		15117		1669		7905		17152		13789		243		8901		6241		17223		2380		13668		3514		7916		723		1957		11222		4605		12371		
4536		1565		18319		653		7667		13067		12331		15297		5688		9963		1730		16725		13298		12021		4797		7557		12286		641		18290		10151		7271		6534		11730		11865		6986		14004		5984		2762		16792		13450		6428		10753		13049		12245		2141		17710		1325		13862		11294		6859		9517		16911		2671		6223		10577		6778		7916		17871		13835		5541		6986		4593		12913		3357		9358		2478		2616		7958		16440		11075		12155		645		8508		3029		10715		9275		11633		1790		13441		19006		8098		2232		10078		15941		16067		17029		15539		3791		702		13081		18477		8481		3978		12901		3784		5563		10589		15712		7860		8373		2872		3315		9013		5691		17953		5602		13380		16834		10734		5778		
13715		3782		17469		11548		3438		8290		18560		15916		8573		4362		9654		17494		13062		17128		1589		22		14159		18674		3875		19490		3393		7460		5317		2350		4232		19872		19470		4443		9814		702		3000		4126		5352		12945		5905		19113		19393		4248		14477		1720		10546		3102		13785		16826		5019		12943		9872		16857		19050		6935		9894		1416		13794		19448		12769		18088		16728		8935		5096		19126		13847		8324		15924		10389		12643		15253		19523		6292		5786		10974		6155		15644		7895		5246		13771		2457		9584		18537		16477		4034		14879		6782		1000		13158		3005		4452		12211		1780		19786		1638		12819		11751		13226		4392		11685		2764		3017		14916		8823		16562		
19615		11462		19008		4141		2351		19936		912		16903		15753		7818		11170		9188		1999		2618		17711		6160		3829		3357		7036		3815		10817		10575		15795		13536		7986		124		15471		1335		10910		51		5040		9974		8627		18020		14063		1727		8767		9526		16652		11384		19818		6279		11523		6868		16321		1441		380		5786		14254		12693		15522		2356		7298		5367		4107		12534		149		12662		3062		2377		10693		6038		2612		14259		14170		4076		11580		9893		10154		14869		6498		6497		3032		19476		16898		17349		4406		11526		10614		13016		7820		5123		18696		4528		12721		5555		15361		8062		14806		9098		14911		2615		13186		17762		18629		16287		888		10611		11340		6900		
13653		3922		15447		10389		4277		4355		10917		8077		4149		14428		15168		11999		18099		10040		4722		14671		8977		16661		12151		2731		7001		15083		13261		11477		18522		3241		5704		10158		9553		5389		16578		8256		18307		5375		8623		7335		18502		8906		19503		3070		1632		13881		3229		14210		8039		5066		804		2565		5799		18674		1330		12017		18242		13613		9412		16822		19889		479		5472		12946		14857		460		3778		3484		16345		3729		17070		11117		6640		3581		15524		13196		4507		3407		11602		2933		4364		14957		14307		18725		16758		12286		14613		6020		564		6501		15656		5967		3626		3130		15507		15201		4580		15175		10704		7229		6394		8572		3352		10555		
3989		17519		4553		19820		16971		9075		19619		7180		614		19764		12338		18596		14083		19437		12742		16056		8469		7910		16670		307		12906		15725		5923		13677		5478		6639		19217		19351		16555		3539		10544		19843		9146		8308		8033		17554		307		3545		15731		4987		12281		13811		3254		12181		17329		1490		5575		610		7464		9636		12745		19704		468		18540		9397		9772		17843		154		18344		1245		10224		14764		16315		2938		5988		16545		9456		15794		11512		13622		6408		1559		15305		6751		11217		17037		15460		8067		10333		5300		6833		12916		11534		3983		3181		11210		15469		11953		11375		16156		11065		19268		12		19130		6877		19093		15253		12169		8891		8415		
7358		13564		16708		11378		14778		971		10793		13056		19010		18227		3883		13156		10900		10346		4463		2575		14712		15036		18254		7536		11486		4551		6889		4383		13603		4720		14265		5959		10131		16417		4036		15086		19368		2719		5996		2466		17008		16363		5537		18849		4013		4885		5879		8773		5333		10552		2482		3018		7322		4983		10206		11165		19620		850		5435		8100		282		16484		6069		11268		19552		8380		17873		17906		19642		14581		4388		15418		2735		2516		12158		13445		18601		18879		7011		14667		184		12981		3770		5717		13526		11181		5631		2765		13189		11566		12979		14500		13045		19624		371		16544		19266		17998		11078		11553		3002		8145		2447		1070		
5467		9082		10307		7008		3259		19907		18804		16106		17025		3666		8076		15811		6065		19315		17686		179		1286		10609		10133		3158		6103		15377		11384		16687		3195		14604		11845		5100		12809		16230		19858		14706		12857		10863		5364		389		10086		5366		17710		16246		14709		17477		17611		1290		15854		13213		10406		8706		16361		13871		16006		13676		15013		14643		2056		4294		6225		137		5076		15466		10285		14346		1938		1594		18603		18378		9557		15593		15727		16876		7221		19748		6390		10401		6203		19163		17298		12671		18805		18032		1683		10331		19977		987		3266		11170		3718		791		11047		1433		2614		1709		16682		10031		7696		10011		1046		17596		1483		480		
13306		8345		3212		8582		4361		1947		7968		7757		2657		6189		5893		12272		9352		2313		17122		14167		13267		16242		19064		5016		896		12721		18256		14602		707		3691		467		17351		4990		15291		7609		4381		14378		4561		8249		17138		1554		9478		17759		14482		5406		13531		13179		11319		10445		7661		11254		13299		16475		11159		17696		1308		3522		8133		18405		19636		4221		15440		4542		18452		8456		8026		419		9845		835		1192		7358		1403		13557		12535		12890		7839		14541		6844		13499		1399		10180		3773		12680		7972		9823		2981		13123		17879		4816		17000		13849		6368		7899		5203		9780		10389		14422		9454		301		9756		8586		850		18175		3797		
6487		14625		14072		10311		8819		16070		15560		8005		2643		8138		1564		1117		5762		19952		15972		13629		4622		238		19888		258		5858		584		15066		10558		18446		3146		3132		4229		12131		12322		9858		10197		12538		13240		3834		4671		5588		11148		14472		12502		19452		17098		16950		16371		10473		13707		19593		15363		12896		11275		1230		15309		4022		19875		6899		292		4914		2787		4435		17477		15505		13166		9065		10029		2339		8977		13350		13883		9427		8513		6685		9341		3524		4752		11515		17946		10167		17644		12692		16155		1001		7124		12536		14743		14745		19192		6021		7161		13640		10604		3702		3504		14936		13704		18361		13843		15927		1247		4863		12526		
